
9352,Key2More Rewards MasterCard
Date,Amount,Description,Ref.#
04/22/2026,"-27.81","SP COMPASS LABORATORY HATFIELD AR","9352",
04/18/2026,"400","PAYMENT RECEIVED -- THANK YOU","9352",
04/08/2026,"-86","INTEREST CHARGE-PURCHASE","9352",
04/06/2026,"-40","LATE PAYMENT FEE","9352",
03/25/2026,"-27.81","SP COMPASS LABORATORY HATFIELD AR","9352",
03/06/2026,"-77.06","INTEREST CHARGE-PURCHASE","9352",
02/25/2026,"-27.81","SP COMPASS LABORATORY HATFIELD AR","9352",
02/16/2026,"300","PAYMENT RECEIVED -- THANK YOU","9352",
02/06/2026,"-76.45","INTEREST CHARGE-PURCHASE","9352",
02/04/2026,"-33","FOREIGN TRANSACTION FEE","9352",
02/04/2026,"-1100","PAYPAL *SAURANUKA 4029357733 SGP","9352",
02/03/2026,"400","PAYMENT RECEIVED -- THANK YOU","9352",
01/28/2026,"-27.81","SP COMPASS LABORATORY HATFIELD AR","9352",
01/08/2026,"-73.03","INTEREST CHARGE-PURCHASE","9352",

8985,KeyBank Platinum MasterCard Credit Card
Date,Amount,Description,Ref.#
04/10/2026,"-9.39","INTEREST CHARGE-ADVANCE","8985",
04/10/2026,"-0.35","INTEREST CHARGE-PURCHASE","8985",
04/06/2026,"100","PAYMENT RECEIVED -- THANK YOU","8985",
03/11/2026,"-7.64","INTEREST CHARGE-ADVANCE","8985",
03/11/2026,"-0.04","INTEREST CHARGE-PURCHASE","8985",
03/09/2026,"-29","LATE PAYMENT FEE","8985",
02/25/2026,"-50","OVERDRAFT CASH ADVANCE","8985",
02/14/2026,"-300","OVERDRAFT CASH ADVANCE","8985",
02/11/2026,"-3.83","INTEREST CHARGE-ADVANCE","8985",
02/11/2026,"-50","OVERDRAFT CASH ADVANCE","8985",
01/22/2026,"648.84","PAYMENT RECEIVED -- THANK YOU","8985",
01/16/2026,"-100","OVERDRAFT CASH ADVANCE","8985",
01/15/2026,"-300","OVERDRAFT CASH ADVANCE","8985",
01/11/2026,"1.16","INTEREST CHARGE ADJUSTMENT","8985",
01/10/2026,"766.52","PAYMENT RECEIVED -- THANK YOU","8985",
01/13/2026,"-250","OVERDRAFT CASH ADVANCE","8985",
01/09/2026,"-16.52","INTEREST CHARGE-ADVANCE","8985",
